name,unit,producer,kved
Батарея аккум.HNN 9009 GP280,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Батарея аккум.HNN 9009 GP280-Privasy Plus,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
"Батарея аккумуляторна CSB GP 1272 (12v, 7.2Ah)",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Батарея акумуляторна CSB GP1272,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Батарея акумуляторна Motorola NNTN4851,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Безконтактний сельсин-датчик БД-1404,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок  FX2N-16EYR ES8UL,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок  ДЦЦ5.184.022 для  АГ0011 0-21% О2,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9027 90 80 00
Блок  керування 100ВНМ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок  керування Б-12А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок  керування БУ-21,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9032 90 00 00
Блок аналого-дискретного перетворювання Л 03,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок БКС-3,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Блок БПС 1-40 (до ел. магніту КЭП-1300),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8504 40 90 00
